"District","School","GrowthStatus","PctPassingEOGTests","PctFreeReduced","HasStringsProgram","SchoolScore","Grade"
"Charlotte-Mecklenburg Schools","Reid Park Academy","Met",25.50,93.10,0,37,"F"
"Catawba County Schools","Mountain View Elementary","Exceeded",69.10,44.50,0,73,"B"
"Catawba County Schools","Challenger Early College High","Exceeded",,47.00,0,98,"A"
"Bladen County Schools","B T Washington Primary","Met",50.00,92.70,0,54,"D"
"Forsyth County Schools","Sedge Garden Elementary","NotMet",53.30,48.20,0,56,"C"
"Alexander County Schools","West Alexander Middle","Exceeded",58.20,43.80,0,65,"C"
"Avery County Schools","Cranberry Middle","Exceeded",65.90,66.50,0,71,"B"
"Alexander County Schools","Wittenburg Elementary","NotMet",63.50,56.50,0,64,"C"
"Lenoir County Public Schools","Northwest Elementary","Met",40.10,80.50,0,49,"D"
"Charlotte-Mecklenburg Schools","Long Creek Elementary","Exceeded",57.90,54.10,0,64,"C"
"Alleghany County Schools","Alleghany High","Met",58.60,53.90,0,71,"B"
"Brunswick County Schools","South Brunswick High","NotMet",56.10,45.70,0,69,"C"
"Alleghany County Schools","Glade Creek Elementary","Met",58.70,71.90,0,64,"C"
"Martin County Schools","South Creek Middle","Exceeded",47.90,80.90,0,57,"C"
"Cumberland County Schools","Hope Mills Middle","Exceeded",49.10,55.90,0,57,"C"
"Burke County Schools","Mull Elementary","Exceeded",65.20,65.00,0,69,"C"
"Anson County Schools","Ansonville Elementary","Exceeded",53.20,63.10,0,61,"C"
"Charlotte-Mecklenburg Schools","Reedy Creek Elementary","Exceeded",49.90,71.50,0,57,"C"
"Bladen County Schools","Tar Heel Middle","Met",36.90,81.20,0,44,"D"
"Forsyth County Schools","Meadowlark Middle","Met",71.40,22.90,0,73,"B"
"Alleghany County Schools","Piney Creek Elementary","Met",79.10,53.40,0,80,"B"
"Catawba County Schools","Fred T Foard High","NotMet",65.10,36.60,0,75,"B"
"Anson County Schools","Lilesville Elementary","Exceeded",38.20,79.70,0,49,"D"
"Beaufort County Schools","Chocowinity Middle","NotMet",49.30,69.70,0,51,"D"
"Transylvania County Schools","Rosman Elementary","Met",61.80,73.10,0,66,"C"
"Anson County Schools","Morven Elementary","Exceeded",31.30,94.40,0,43,"D"
"Wake County Schools","Olive Chapel Elementary","Met",85.30,6.30,0,85,"A"
"Anson County Schools","Wadesboro Elementary","Exceeded",24.80,88.10,0,37,"F"
"Ashe County Schools","Ashe County Middle","Exceeded",65.60,59.70,0,70,"B"
"Cabarrus County Schools","Performance Learning Center","N/A",28.30,46.70,0,62,"C"
"Charlotte-Mecklenburg Schools","Idlewild Elementary","Met",57.70,83.40,0,62,"C"
"Ashe County Schools","Mountain View Elementary","Exceeded",66.40,67.50,0,73,"B"
"Union County Public Schools","Monroe High","Exceeded",34.40,84.50,0,57,"C"
"Asheboro City Schools","Charles W McCrary Elementary","Met",39.20,90.10,0,47,"D"
"Asheboro City Schools","Donna L Loflin Elementary","NotMet",39.70,83.20,0,43,"D"
"Bertie County Schools","West Bertie Elementary","NotMet",26.70,93.80,0,35,"F"
"Asheboro City Schools","Guy B Teachey Elementary","Exceeded",59.50,61.30,0,66,"C"
"Caldwell County Schools","Collettsville School","Exceeded",74.10,59.60,0,77,"B"
"Charter Schools","Lake Norman Charter","Exceeded",83.20,,0,88,"A"
"Cabarrus County Schools","Hickory Ridge Middle","Exceeded",69.40,20.90,0,74,"B"
"Asheboro City Schools","Lindley Park Elementary","Met",53.20,71.60,0,58,"C"
"Asheboro City Schools","North Asheboro Middle","Exceeded",41.90,85.90,0,52,"D"
"New Hanover County Schools","Holly Tree Elementary","Met",83.10,29.10,0,83,"B"
"Guilford County Schools","Archer Elementary","Exceeded",45.50,92.10,0,54,"D"
"Charter Schools","ArtSpace Charter School","Met",67.70,48.40,0,69,"C"
"Cabarrus County Schools","Northwest Cabarrus Middle","Exceeded",55.40,51.10,0,62,"C"
"Asheville City Schools","Asheville High","NotMet",60.50,42.50,0,69,"C"
"Caldwell County Schools","Oak Hill Elementary","Met",51.20,56.00,0,58,"C"
"Buncombe County Schools","Owen Middle","NotMet",55.30,63.70,0,58,"C"
"Asheville City Schools","Asheville Middle","Met",63.30,52.10,0,65,"C"
"Charter Schools","Voyager Academy","Exceeded",68.80,5.90,0,76,"B"
"Asheville City Schools","Claxton Elementary","Exceeded",73.10,42.10,0,76,"B"
"Onslow County Schools","New Bridge Middle","Met",63.40,35.20,0,67,"C"
"Johnston County Schools","North Johnston High","Exceeded",55.30,47.50,0,71,"B"
